;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:20:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:80.05mJ             
;Max:82.10mJ             
;Average:80.88mJ             
;Std.Dev.:557.1uJ             
;Overrange:0                   
;Total Pulses:628                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:20:49
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.050e-02 	  8.050e-02 	
         0.034	  8.100e-02 	  8.075e-02 	
         0.066	  8.000e-02 	  8.050e-02 	
         0.100	  8.120e-02 	  8.067e-02 	
         0.134	  8.030e-02 	  8.060e-02 	
         0.166	  8.120e-02 	  8.070e-02 	
         0.200	  7.960e-02 	  8.054e-02 	
         0.234	  7.990e-02 	  8.046e-02 	
         0.266	  8.120e-02 	  8.054e-02 	
         0.300	  8.030e-02 	  8.052e-02 	
         0.334	  8.040e-02 	  8.051e-02 	
         0.366	  7.960e-02 	  8.043e-02 	
         0.400	  8.160e-02 	  8.052e-02 	
         0.434	  8.160e-02 	  8.060e-02 	
         0.466	  8.120e-02 	  8.064e-02 	
         0.500	  8.160e-02 	  8.070e-02 	
         0.534	  8.170e-02 	  8.076e-02 	
         0.566	  8.100e-02 	  8.077e-02 	
         0.600	  8.160e-02 	  8.082e-02 	
         0.634	  7.900e-02 	  8.072e-02 	
         0.666	  8.020e-02 	  8.070e-02 	
         0.700	  8.140e-02 	  8.073e-02 	
         0.734	  8.110e-02 	  8.075e-02 	
         0.766	  8.120e-02 	  8.077e-02 	
         0.800	  8.140e-02 	  8.079e-02 	
         0.834	  8.040e-02 	  8.078e-02 	
         0.866	  8.090e-02 	  8.078e-02 	
         0.900	  8.160e-02 	  8.081e-02 	
         0.934	  8.070e-02 	  8.081e-02 	
         0.966	  8.050e-02 	  8.080e-02 	
         1.000	  8.010e-02 	  8.077e-02 	
         1.034	  8.160e-02 	  8.080e-02 	
         1.066	  7.650e-02 	  8.067e-02 	
         1.100	  8.000e-02 	  8.065e-02 	
         1.134	  8.030e-02 	  8.064e-02 	
         1.168	  7.960e-02 	  8.061e-02 	
         1.200	  7.920e-02 	  8.057e-02 	
         1.234	  7.950e-02 	  8.054e-02 	
         1.268	  7.990e-02 	  8.053e-02 	
         1.300	  7.930e-02 	  8.050e-02 	
         1.334	  8.110e-02 	  8.051e-02 	
         1.366	  8.090e-02 	  8.052e-02 	
         1.400	  7.870e-02 	  8.048e-02 	
