;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:39:01
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:81.06mJ             
;Max:84.40mJ             
;Average:82.20mJ             
;Std.Dev.:462.5uJ             
;Overrange:0                   
;Total Pulses:629                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:39:01
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.440e-02 	  8.440e-02 	
         0.033	  8.150e-02 	  8.295e-02 	
         0.067	  8.170e-02 	  8.253e-02 	
         0.100	  8.290e-02 	  8.263e-02 	
         0.132	  8.410e-02 	  8.292e-02 	
         0.167	  8.180e-02 	  8.273e-02 	
         0.200	  8.330e-02 	  8.281e-02 	
         0.232	  8.250e-02 	  8.278e-02 	
         0.266	  8.330e-02 	  8.283e-02 	
         0.300	  8.250e-02 	  8.280e-02 	
         0.332	  8.200e-02 	  8.273e-02 	
         0.366	  8.390e-02 	  8.282e-02 	
         0.400	  8.490e-02 	  8.298e-02 	
         0.432	  7.870e-02 	  8.268e-02 	
         0.466	  8.260e-02 	  8.267e-02 	
         0.500	  8.230e-02 	  8.265e-02 	
         0.532	  8.380e-02 	  8.272e-02 	
         0.566	  8.160e-02 	  8.266e-02 	
         0.600	  8.340e-02 	  8.269e-02 	
         0.632	  8.420e-02 	  8.277e-02 	
         0.666	  8.490e-02 	  8.287e-02 	
         0.700	  8.460e-02 	  8.295e-02 	
         0.732	  8.220e-02 	  8.292e-02 	
         0.766	  8.420e-02 	  8.297e-02 	
         0.800	  8.120e-02 	  8.290e-02 	
         0.832	  7.880e-02 	  8.274e-02 	
         0.866	  8.110e-02 	  8.268e-02 	
         0.900	  8.320e-02 	  8.270e-02 	
         0.932	  8.330e-02 	  8.272e-02 	
         0.966	  7.930e-02 	  8.261e-02 	
         1.000	  8.330e-02 	  8.263e-02 	
         1.032	  8.270e-02 	  8.263e-02 	
         1.066	  7.930e-02 	  8.253e-02 	
         1.100	  8.380e-02 	  8.257e-02 	
         1.132	  8.270e-02 	  8.257e-02 	
         1.166	  8.390e-02 	  8.261e-02 	
         1.200	  8.240e-02 	  8.260e-02 	
         1.232	  8.340e-02 	  8.262e-02 	
         1.266	  8.320e-02 	  8.264e-02 	
         1.300	  8.370e-02 	  8.267e-02 	
         1.332	  8.550e-02 	  8.273e-02 	
         1.366	  7.770e-02 	  8.261e-02 	
         1.400	  8.170e-02 	  8.259e-02 	
         1.432	  8.230e-02 	  8.259e-02 	
         1.466	  8.470e-02 	  8.263e-02 	
         1.500	  8.180e-02 	  8.262e-02 	
         1.532	  8.110e-02 	  8.258e-02 	
         1.566	  8.190e-02 	  8.257e-02 	
         1.600	  8.140e-02 	  8.254e-02 	
         1.632	  8.230e-02 	  8.254e-02 	
         1.666	  8.190e-02 	  8.253e-02 	
         1.700	  8.410e-02 	  8.256e-02 	
         1.732	  8.080e-02 	  8.252e-02 	
         1.766	  8.170e-02 	  8.251e-02 	
         1.800	  7.870e-02 	  8.244e-02 	
         1.832	  8.360e-02 	  8.246e-02 	
         1.866	  8.330e-02 	  8.248e-02 	
         1.900	  8.290e-02 	  8.248e-02 	
         1.932	  8.140e-02 	  8.246e-02 	
         1.966	  8.230e-02 	  8.246e-02 	
         2.000	  8.370e-02 	  8.248e-02 	
         2.032	  8.390e-02 	  8.250e-02 	
         2.066	  8.470e-02 	  8.254e-02 	
         2.100	  8.440e-02 	  8.257e-02 	
         2.132	  8.480e-02 	  8.260e-02 	
         2.166	  8.520e-02 	  8.264e-02 	
         2.200	  7.960e-02 	  8.260e-02 	
         2.232	  8.230e-02 	  8.259e-02 	
         2.266	  8.290e-02 	  8.260e-02 	
         2.300	  8.200e-02 	  8.259e-02 	
         2.332	  8.250e-02 	  8.259e-02 	
         2.366	  8.270e-02 	  8.259e-02 	
         2.400	  8.170e-02 	  8.258e-02 	
         2.432	  8.480e-02 	  8.261e-02 	
         2.466	  8.360e-02 	  8.262e-02 	
         2.500	  8.330e-02 	  8.263e-02 	
         2.532	  8.550e-02 	  8.267e-02 	
         2.567	  8.390e-02 	  8.268e-02 	
         2.600	  8.140e-02 	  8.267e-02 	
         2.632	  8.410e-02 	  8.268e-02 	
         2.666	  8.070e-02 	  8.266e-02 	
         2.700	  8.310e-02 	  8.266e-02 	
         2.732	  7.960e-02 	  8.263e-02 	
         2.766	  8.020e-02 	  8.260e-02 	
         2.800	  8.270e-02 	  8.260e-02 	
         2.832	  8.260e-02 	  8.260e-02 	
         2.866	  7.850e-02 	  8.255e-02 	
         2.900	  8.290e-02 	  8.256e-02 	
         2.932	  8.140e-02 	  8.254e-02 	
         2.966	  8.330e-02 	  8.255e-02 	
         3.000	  8.150e-02 	  8.254e-02 	
         3.032	  8.360e-02 	  8.253e-02 	
         3.073	  8.080e-02 	  8.253e-02 	
         3.100	  8.440e-02 	  8.255e-02 	
         3.132	  8.190e-02 	  8.254e-02 	
         3.166	  8.150e-02 	  8.251e-02 	
         3.200	  8.090e-02 	  8.250e-02 	
         3.232	  8.110e-02 	  8.248e-02 	
         3.266	  8.170e-02 	  8.247e-02 	
         3.300	  8.290e-02 	  8.247e-02 	
         3.332	  8.100e-02 	  8.245e-02 	
         3.366	  8.190e-02 	  8.245e-02 	
         3.402	  8.030e-02 	  8.238e-02 	
         3.432	  7.970e-02 	  8.235e-02 	
         3.466	  7.810e-02 	  8.235e-02 	
         3.500	  8.180e-02 	  8.234e-02 	
         3.532	  8.000e-02 	  8.231e-02 	
         3.566	  7.880e-02 	  8.226e-02 	
         3.600	  7.880e-02 	  8.223e-02 	
         3.632	  7.600e-02 	  8.215e-02 	
         3.666	  8.030e-02 	  8.210e-02 	
         3.700	  7.770e-02 	  8.202e-02 	
         3.732	  7.870e-02 	  8.196e-02 	
         3.766	  8.150e-02 	  8.195e-02 	
         3.800	  7.960e-02 	  8.190e-02 	
         3.832	  7.660e-02 	  8.185e-02 	
         3.866	  8.040e-02 	  8.187e-02 	
         3.900	  7.900e-02 	  8.184e-02 	
         3.932	  8.100e-02 	  8.182e-02 	
