;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:06:00
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:88.60mJ             
;Max:91.92mJ             
;Average:90.78mJ             
;Std.Dev.:727.0uJ             
;Overrange:0                   
;Total Pulses:622                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:06:00
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.910e-02 	  8.910e-02 	
         0.034	  8.810e-02 	  8.860e-02 	
         0.068	  9.030e-02 	  8.917e-02 	
         0.100	  8.850e-02 	  8.900e-02 	
         0.134	  8.860e-02 	  8.892e-02 	
         0.168	  9.030e-02 	  8.915e-02 	
         0.200	  9.130e-02 	  8.946e-02 	
         0.234	  8.670e-02 	  8.911e-02 	
         0.268	  9.040e-02 	  8.926e-02 	
         0.300	  8.920e-02 	  8.925e-02 	
         0.334	  8.850e-02 	  8.918e-02 	
         0.368	  8.820e-02 	  8.910e-02 	
         0.400	  9.000e-02 	  8.917e-02 	
         0.434	  8.850e-02 	  8.912e-02 	
         0.468	  9.110e-02 	  8.925e-02 	
         0.500	  8.810e-02 	  8.918e-02 	
         0.534	  8.880e-02 	  8.916e-02 	
         0.568	  8.950e-02 	  8.918e-02 	
         0.600	  8.970e-02 	  8.921e-02 	
         0.634	  8.950e-02 	  8.922e-02 	
         0.668	  8.990e-02 	  8.925e-02 	
         0.700	  8.960e-02 	  8.927e-02 	
         0.734	  8.850e-02 	  8.923e-02 	
         0.768	  8.890e-02 	  8.922e-02 	
         0.800	  9.000e-02 	  8.925e-02 	
         0.834	  8.840e-02 	  8.922e-02 	
         0.868	  8.990e-02 	  8.924e-02 	
         0.900	  9.130e-02 	  8.932e-02 	
         0.933	  8.970e-02 	  8.933e-02 	
         0.968	  9.110e-02 	  8.939e-02 	
         1.000	  8.770e-02 	  8.934e-02 	
         1.034	  8.860e-02 	  8.931e-02 	
         1.068	  9.060e-02 	  8.935e-02 	
         1.100	  9.030e-02 	  8.938e-02 	
         1.134	  8.930e-02 	  8.938e-02 	
         1.168	  8.990e-02 	  8.939e-02 	
