;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 18:03:10
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:74.00mJ             
;Max:78.30mJ             
;Average:75.34mJ             
;Std.Dev.:609.9uJ             
;Overrange:0                   
;Total Pulses:788                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 18:03:10
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  7.830e-02 	  7.830e-02 	
         0.034	  7.610e-02 	  7.720e-02 	
         0.066	  7.670e-02 	  7.703e-02 	
         0.100	  7.660e-02 	  7.692e-02 	
         0.134	  7.900e-02 	  7.734e-02 	
         0.166	  7.670e-02 	  7.723e-02 	
         0.200	  7.480e-02 	  7.689e-02 	
         0.234	  7.660e-02 	  7.685e-02 	
         0.266	  7.770e-02 	  7.694e-02 	
         0.300	  7.720e-02 	  7.697e-02 	
         0.334	  7.590e-02 	  7.687e-02 	
         0.366	  7.670e-02 	  7.686e-02 	
         0.400	  7.550e-02 	  7.675e-02 	
         0.434	  7.580e-02 	  7.669e-02 	
         0.468	  7.590e-02 	  7.663e-02 	
         0.500	  7.740e-02 	  7.668e-02 	
         0.534	  7.610e-02 	  7.665e-02 	
         0.566	  7.490e-02 	  7.655e-02 	
         0.600	  7.580e-02 	  7.651e-02 	
         0.634	  7.550e-02 	  7.646e-02 	
         0.666	  7.640e-02 	  7.646e-02 	
         0.700	  7.720e-02 	  7.649e-02 	
         0.734	  7.600e-02 	  7.647e-02 	
         0.766	  7.870e-02 	  7.656e-02 	
         0.800	  7.650e-02 	  7.656e-02 	
         0.834	  7.730e-02 	  7.659e-02 	
         0.866	  7.430e-02 	  7.650e-02 	
         0.900	  7.740e-02 	  7.654e-02 	
         0.934	  7.930e-02 	  7.663e-02 	
         0.966	  7.730e-02 	  7.665e-02 	
         1.000	  7.670e-02 	  7.665e-02 	
         1.034	  7.230e-02 	  7.652e-02 	
         1.066	  7.780e-02 	  7.656e-02 	
         1.100	  7.650e-02 	  7.656e-02 	
         1.134	  7.700e-02 	  7.657e-02 	
         1.166	  7.560e-02 	  7.654e-02 	
         1.200	  7.770e-02 	  7.657e-02 	
         1.234	  7.680e-02 	  7.658e-02 	
         1.266	  7.480e-02 	  7.653e-02 	
         1.300	  7.590e-02 	  7.652e-02 	
         1.334	  7.580e-02 	  7.650e-02 	
         1.366	  7.520e-02 	  7.647e-02 	
         1.400	  7.440e-02 	  7.642e-02 	
         1.434	  7.430e-02 	  7.637e-02 	
         1.468	  7.480e-02 	  7.634e-02 	
         1.500	  7.530e-02 	  7.632e-02 	
         1.534	  7.590e-02 	  7.631e-02 	
         1.566	  7.890e-02 	  7.636e-02 	
         1.601	  7.800e-02 	  7.639e-02 	
         1.634	  7.950e-02 	  7.646e-02 	
         1.667	  7.870e-02 	  7.650e-02 	
         1.701	  7.740e-02 	  7.652e-02 	
         1.735	  7.530e-02 	  7.649e-02 	
         1.767	  7.930e-02 	  7.655e-02 	
         1.801	  7.580e-02 	  7.653e-02 	
         1.835	  7.410e-02 	  7.649e-02 	
         1.867	  7.560e-02 	  7.647e-02 	
         1.901	  7.400e-02 	  7.643e-02 	
         1.935	  7.560e-02 	  7.642e-02 	
         1.966	  7.810e-02 	  7.644e-02 	
         2.001	  7.500e-02 	  7.642e-02 	
         2.035	  7.380e-02 	  7.638e-02 	
         2.067	  7.820e-02 	  7.641e-02 	
         2.101	  7.350e-02 	  7.636e-02 	
         2.135	  7.440e-02 	  7.633e-02 	
         2.167	  7.590e-02 	  7.633e-02 	
         2.201	  7.330e-02 	  7.628e-02 	
         2.235	  7.420e-02 	  7.625e-02 	
         2.267	  7.360e-02 	  7.621e-02 	
         2.301	  7.360e-02 	  7.617e-02 	
         2.334	  7.300e-02 	  7.613e-02 	
         2.367	  7.430e-02 	  7.610e-02 	
         2.401	  7.650e-02 	  7.611e-02 	
         2.435	  7.400e-02 	  7.608e-02 	
         2.469	  7.450e-02 	  7.606e-02 	
         2.501	  7.130e-02 	  7.600e-02 	
         2.535	  7.180e-02 	  7.594e-02 	
         2.567	  7.440e-02 	  7.592e-02 	
         2.601	  7.340e-02 	  7.589e-02 	
         2.635	  7.350e-02 	  7.586e-02 	
         2.666	  7.260e-02 	  7.582e-02 	
         2.701	  7.520e-02 	  7.581e-02 	
         2.734	  7.410e-02 	  7.579e-02 	
         2.767	  7.440e-02 	  7.578e-02 	
         2.801	  7.290e-02 	  7.574e-02 	
         2.834	  7.420e-02 	  7.572e-02 	
         2.866	  7.510e-02 	  7.572e-02 	
         2.901	  7.590e-02 	  7.572e-02 	
         2.935	  7.410e-02 	  7.570e-02 	
         2.966	  7.680e-02 	  7.571e-02 	
         3.000	  7.550e-02 	  7.571e-02 	
         3.035	  7.680e-02 	  7.569e-02 	
         3.066	  7.530e-02 	  7.569e-02 	
         3.100	  7.560e-02 	  7.567e-02 	
         3.135	  7.340e-02 	  7.560e-02 	
         3.166	  7.510e-02 	  7.560e-02 	
         3.201	  7.370e-02 	  7.557e-02 	
         3.235	  7.160e-02 	  7.552e-02 	
         3.267	  7.440e-02 	  7.548e-02 	
         3.300	  7.580e-02 	  7.548e-02 	
         3.334	  7.370e-02 	  7.544e-02 	
         3.366	  7.410e-02 	  7.542e-02 	
         3.401	  7.230e-02 	  7.537e-02 	
         3.435	  7.490e-02 	  7.536e-02 	
         3.469	  7.190e-02 	  7.532e-02 	
         3.500	  7.230e-02 	  7.529e-02 	
         3.534	  7.500e-02 	  7.526e-02 	
         3.567	  7.450e-02 	  7.525e-02 	
         3.601	  7.200e-02 	  7.520e-02 	
         3.634	  7.550e-02 	  7.521e-02 	
         3.666	  7.870e-02 	  7.524e-02 	
         3.700	  7.520e-02 	  7.523e-02 	
         3.734	  7.580e-02 	  7.521e-02 	
         3.766	  7.200e-02 	  7.517e-02 	
         3.800	  7.520e-02 	  7.513e-02 	
         3.834	  7.410e-02 	  7.511e-02 	
         3.866	  7.630e-02 	  7.509e-02 	
         3.900	  7.580e-02 	  7.511e-02 	
         3.936	  7.670e-02 	  7.506e-02 	
         3.966	  7.780e-02 	  7.509e-02 	
         4.000	  7.290e-02 	  7.504e-02 	
         4.034	  7.810e-02 	  7.505e-02 	
         4.066	  7.730e-02 	  7.511e-02 	
         4.100	  7.520e-02 	  7.508e-02 	
         4.134	  7.550e-02 	  7.507e-02 	
         4.166	  7.510e-02 	  7.505e-02 	
         4.200	  7.440e-02 	  7.504e-02 	
         4.234	  7.710e-02 	  7.503e-02 	
         4.266	  7.450e-02 	  7.500e-02 	
         4.300	  7.750e-02 	  7.503e-02 	
         4.334	  7.550e-02 	  7.503e-02 	
         4.366	  7.450e-02 	  7.501e-02 	
         4.400	  7.380e-02 	  7.500e-02 	
         4.435	  7.710e-02 	  7.504e-02 	
         4.468	  7.630e-02 	  7.505e-02 	
         4.500	  7.550e-02 	  7.506e-02 	
         4.534	  7.700e-02 	  7.508e-02 	
         4.566	  7.650e-02 	  7.508e-02 	
         4.601	  7.820e-02 	  7.508e-02 	
         4.634	  7.640e-02 	  7.506e-02 	
         4.666	  7.510e-02 	  7.501e-02 	
         4.700	  7.770e-02 	  7.500e-02 	
         4.734	  7.700e-02 	  7.499e-02 	
         4.766	  7.900e-02 	  7.504e-02 	
         4.800	  7.510e-02 	  7.499e-02 	
         4.834	  7.740e-02 	  7.501e-02 	
         4.866	  7.430e-02 	  7.501e-02 	
         4.900	  7.410e-02 	  7.499e-02 	
         4.935	  7.730e-02 	  7.503e-02 	
         4.966	  7.730e-02 	  7.505e-02 	
         5.000	  7.700e-02 	  7.504e-02 	
         5.034	  7.550e-02 	  7.504e-02 	
         5.066	  7.660e-02 	  7.507e-02 	
         5.101	  7.730e-02 	  7.506e-02 	
         5.134	  7.750e-02 	  7.511e-02 	
         5.166	  7.610e-02 	  7.512e-02 	
         5.200	  7.510e-02 	  7.512e-02 	
         5.234	  7.670e-02 	  7.515e-02 	
         5.266	  7.680e-02 	  7.518e-02 	
         5.300	  7.610e-02 	  7.521e-02 	
         5.334	  7.420e-02 	  7.522e-02 	
         5.366	  7.360e-02 	  7.522e-02 	
         5.400	  7.350e-02 	  7.521e-02 	
         5.434	  7.130e-02 	  7.516e-02 	
         5.468	  7.310e-02 	  7.515e-02 	
         5.500	  7.520e-02 	  7.515e-02 	
         5.534	  7.400e-02 	  7.518e-02 	
         5.566	  7.650e-02 	  7.524e-02 	
         5.600	  7.330e-02 	  7.522e-02 	
         5.634	  7.590e-02 	  7.525e-02 	
         5.666	  7.550e-02 	  7.527e-02 	
         5.700	  7.290e-02 	  7.528e-02 	
         5.734	  7.450e-02 	  7.527e-02 	
         5.766	  7.510e-02 	  7.528e-02 	
         5.800	  7.460e-02 	  7.528e-02 	
         5.834	  7.120e-02 	  7.526e-02 	
         5.866	  7.270e-02 	  7.525e-02 	
         5.900	  7.560e-02 	  7.525e-02 	
         5.935	  7.530e-02 	  7.525e-02 	
         5.966	  7.090e-02 	  7.521e-02 	
         6.000	  6.970e-02 	  7.513e-02 	
         6.034	  7.150e-02 	  7.509e-02 	
         6.066	  7.340e-02 	  7.505e-02 	
         6.100	  7.340e-02 	  7.503e-02 	
         6.134	  7.300e-02 	  7.500e-02 	
         6.166	  7.240e-02 	  7.499e-02 	
         6.200	  7.120e-02 	  7.495e-02 	
         6.234	  7.450e-02 	  7.496e-02 	
         6.266	  7.680e-02 	  7.501e-02 	
         6.300	  7.110e-02 	  7.498e-02 	
         6.334	  7.460e-02 	  7.496e-02 	
         6.366	  7.190e-02 	  7.494e-02 	
         6.400	  7.240e-02 	  7.493e-02 	
         6.434	  7.590e-02 	  7.496e-02 	
         6.468	  7.290e-02 	  7.494e-02 	
         6.500	  7.580e-02 	  7.499e-02 	
         6.534	  7.360e-02 	  7.500e-02 	
         6.566	  7.410e-02 	  7.499e-02 	
         6.600	  7.630e-02 	  7.501e-02 	
         6.634	  7.140e-02 	  7.500e-02 	
         6.666	  7.290e-02 	  7.497e-02 	
         6.700	  7.430e-02 	  7.493e-02 	
         6.734	  7.530e-02 	  7.493e-02 	
         6.767	  7.400e-02 	  7.494e-02 	
         6.800	  7.610e-02 	  7.495e-02 	
         6.834	  7.650e-02 	  7.497e-02 	
         6.866	  7.550e-02 	  7.498e-02 	
         6.900	  7.510e-02 	  7.497e-02 	
         6.934	  7.700e-02 	  7.498e-02 	
         6.966	  7.440e-02 	  7.496e-02 	
         7.000	  7.730e-02 	  7.495e-02 	
         7.034	  7.590e-02 	  7.498e-02 	
