;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 16:52:24
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:76.70mJ             
;Max:79.00mJ             
;Average:77.83mJ             
;Std.Dev.:661.6uJ             
;Overrange:0                   
;Total Pulses:621                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 16:52:24
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  7.900e-02 	  7.900e-02 	
         0.034	  7.710e-02 	  7.805e-02 	
         0.068	  7.860e-02 	  7.823e-02 	
         0.100	  7.580e-02 	  7.762e-02 	
         0.134	  7.770e-02 	  7.764e-02 	
         0.168	  7.930e-02 	  7.792e-02 	
         0.201	  7.630e-02 	  7.769e-02 	
         0.236	  7.950e-02 	  7.791e-02 	
         0.268	  7.820e-02 	  7.794e-02 	
         0.300	  7.900e-02 	  7.805e-02 	
         0.334	  7.930e-02 	  7.816e-02 	
         0.368	  7.850e-02 	  7.819e-02 	
         0.400	  7.990e-02 	  7.832e-02 	
         0.434	  7.930e-02 	  7.839e-02 	
         0.468	  8.040e-02 	  7.853e-02 	
         0.500	  7.820e-02 	  7.851e-02 	
         0.534	  7.930e-02 	  7.855e-02 	
         0.568	  7.950e-02 	  7.861e-02 	
         0.600	  7.900e-02 	  7.863e-02 	
         0.634	  7.790e-02 	  7.859e-02 	
         0.668	  8.030e-02 	  7.867e-02 	
         0.700	  8.050e-02 	  7.875e-02 	
         0.734	  8.110e-02 	  7.886e-02 	
         0.768	  7.810e-02 	  7.882e-02 	
         0.800	  7.790e-02 	  7.879e-02 	
         0.834	  7.950e-02 	  7.882e-02 	
         0.868	  7.710e-02 	  7.875e-02 	
         0.900	  7.940e-02 	  7.878e-02 	
         0.934	  7.950e-02 	  7.880e-02 	
         0.968	  7.880e-02 	  7.880e-02 	
         1.000	  7.610e-02 	  7.871e-02 	
         1.034	  7.900e-02 	  7.872e-02 	
         1.068	  7.700e-02 	  7.867e-02 	
         1.100	  7.640e-02 	  7.860e-02 	
         1.134	  7.640e-02 	  7.854e-02 	
         1.168	  7.590e-02 	  7.847e-02 	
         1.201	  7.850e-02 	  7.847e-02 	
         1.234	  7.930e-02 	  7.849e-02 	
         1.268	  7.660e-02 	  7.844e-02 	
         1.300	  7.490e-02 	  7.835e-02 	
         1.334	  7.610e-02 	  7.830e-02 	
         1.368	  7.790e-02 	  7.829e-02 	
         1.400	  7.730e-02 	  7.827e-02 	
         1.434	  7.560e-02 	  7.820e-02 	
         1.468	  7.890e-02 	  7.822e-02 	
         1.500	  7.780e-02 	  7.821e-02 	
         1.535	  7.930e-02 	  7.823e-02 	
         1.568	  7.740e-02 	  7.822e-02 	
         1.602	  7.860e-02 	  7.822e-02 	
         1.634	  7.810e-02 	  7.822e-02 	
         1.668	  7.800e-02 	  7.822e-02 	
         1.700	  8.030e-02 	  7.826e-02 	
         1.734	  7.820e-02 	  7.826e-02 	
         1.768	  8.000e-02 	  7.829e-02 	
         1.800	  7.930e-02 	  7.831e-02 	
