;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:56:04
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:88.82mJ             
;Max:90.39mJ             
;Average:89.66mJ             
;Std.Dev.:394.4uJ             
;Overrange:0                   
;Total Pulses:612                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:56:05
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.970e-02 	  8.970e-02 	
         0.034	  9.080e-02 	  9.025e-02 	
         0.066	  9.040e-02 	  9.030e-02 	
         0.100	  9.050e-02 	  9.035e-02 	
         0.134	  8.700e-02 	  8.968e-02 	
         0.166	  9.040e-02 	  8.980e-02 	
         0.200	  9.010e-02 	  8.984e-02 	
         0.234	  8.850e-02 	  8.967e-02 	
         0.266	  9.110e-02 	  8.983e-02 	
         0.300	  9.000e-02 	  8.985e-02 	
         0.334	  8.970e-02 	  8.984e-02 	
         0.366	  8.770e-02 	  8.966e-02 	
         0.400	  8.910e-02 	  8.962e-02 	
         0.434	  9.060e-02 	  8.969e-02 	
         0.466	  9.040e-02 	  8.973e-02 	
         0.500	  8.810e-02 	  8.963e-02 	
         0.534	  9.060e-02 	  8.969e-02 	
         0.566	  9.120e-02 	  8.977e-02 	
         0.600	  8.980e-02 	  8.977e-02 	
         0.634	  9.110e-02 	  8.984e-02 	
         0.666	  9.030e-02 	  8.986e-02 	
         0.700	  9.010e-02 	  8.987e-02 	
         0.735	  8.980e-02 	  8.987e-02 	
         0.766	  9.070e-02 	  8.990e-02 	
         0.800	  9.210e-02 	  8.999e-02 	
         0.834	  9.050e-02 	  9.001e-02 	
         0.874	  9.050e-02 	  9.003e-02 	
         0.901	  9.250e-02 	  9.012e-02 	
         0.934	  9.050e-02 	  9.013e-02 	
         0.966	  9.190e-02 	  9.019e-02 	
         1.000	  9.430e-02 	  9.032e-02 	
         1.034	  9.190e-02 	  9.037e-02 	
         1.066	  9.080e-02 	  9.038e-02 	
         1.100	  9.060e-02 	  9.039e-02 	
         1.134	  8.990e-02 	  9.038e-02 	
         1.166	  8.950e-02 	  9.035e-02 	
         1.200	  8.820e-02 	  9.029e-02 	
         1.234	  9.130e-02 	  9.032e-02 	
         1.266	  8.920e-02 	  9.029e-02 	
         1.300	  9.200e-02 	  9.033e-02 	
         1.334	  9.060e-02 	  9.034e-02 	
         1.366	  8.930e-02 	  9.032e-02 	
         1.400	  8.920e-02 	  9.029e-02 	
         1.434	  8.980e-02 	  9.028e-02 	
         1.466	  8.750e-02 	  9.022e-02 	
