;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:00:41
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:84.76mJ             
;Max:86.16mJ             
;Average:85.45mJ             
;Std.Dev.:321.6uJ             
;Overrange:0                   
;Total Pulses:621                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:00:41
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.600e-02 	  8.600e-02 	
         0.034	  8.510e-02 	  8.555e-02 	
         0.066	  8.510e-02 	  8.540e-02 	
         0.100	  8.460e-02 	  8.520e-02 	
         0.134	  8.710e-02 	  8.558e-02 	
         0.166	  8.460e-02 	  8.542e-02 	
         0.200	  8.080e-02 	  8.476e-02 	
         0.234	  8.540e-02 	  8.484e-02 	
         0.266	  8.550e-02 	  8.491e-02 	
         0.300	  8.610e-02 	  8.503e-02 	
         0.334	  8.560e-02 	  8.508e-02 	
         0.366	  8.560e-02 	  8.512e-02 	
         0.400	  8.440e-02 	  8.507e-02 	
         0.434	  8.610e-02 	  8.514e-02 	
         0.466	  8.600e-02 	  8.520e-02 	
         0.500	  8.470e-02 	  8.517e-02 	
         0.534	  8.330e-02 	  8.506e-02 	
         0.566	  8.670e-02 	  8.515e-02 	
         0.600	  8.240e-02 	  8.501e-02 	
         0.638	  8.600e-02 	  8.506e-02 	
         0.666	  8.420e-02 	  8.501e-02 	
         0.700	  8.680e-02 	  8.510e-02 	
         0.734	  8.590e-02 	  8.513e-02 	
         0.766	  8.600e-02 	  8.517e-02 	
         0.800	  8.520e-02 	  8.517e-02 	
         0.834	  8.420e-02 	  8.513e-02 	
         0.866	  8.490e-02 	  8.512e-02 	
         0.900	  8.620e-02 	  8.516e-02 	
         0.934	  8.600e-02 	  8.519e-02 	
         0.966	  8.580e-02 	  8.521e-02 	
         1.000	  8.510e-02 	  8.521e-02 	
         1.034	  8.530e-02 	  8.521e-02 	
         1.066	  8.620e-02 	  8.524e-02 	
         1.100	  8.640e-02 	  8.527e-02 	
         1.134	  8.680e-02 	  8.532e-02 	
         1.166	  8.710e-02 	  8.537e-02 	
         1.200	  8.540e-02 	  8.537e-02 	
         1.234	  8.560e-02 	  8.537e-02 	
         1.266	  8.420e-02 	  8.534e-02 	
         1.300	  8.550e-02 	  8.535e-02 	
         1.334	  8.480e-02 	  8.533e-02 	
         1.366	  8.460e-02 	  8.532e-02 	
         1.400	  8.510e-02 	  8.531e-02 	
         1.434	  8.490e-02 	  8.530e-02 	
         1.466	  8.410e-02 	  8.528e-02 	
         1.500	  8.530e-02 	  8.528e-02 	
         1.534	  8.550e-02 	  8.528e-02 	
         1.568	  8.460e-02 	  8.527e-02 	
         1.600	  8.470e-02 	  8.526e-02 	
         1.634	  8.470e-02 	  8.524e-02 	
         1.666	  8.360e-02 	  8.521e-02 	
         1.700	  8.640e-02 	  8.523e-02 	
         1.734	  8.580e-02 	  8.525e-02 	
         1.766	  8.410e-02 	  8.522e-02 	
         1.800	  8.440e-02 	  8.521e-02 	
         1.834	  8.450e-02 	  8.520e-02 	
         1.866	  8.370e-02 	  8.517e-02 	
         1.901	  8.700e-02 	  8.520e-02 	
         1.934	  8.590e-02 	  8.521e-02 	
