;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:33:01
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:83.30mJ             
;Max:84.76mJ             
;Average:84.09mJ             
;Std.Dev.:303.8uJ             
;Overrange:0                   
;Total Pulses:618                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:33:01
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.330e-02 	  8.330e-02 	
         0.034	  8.580e-02 	  8.455e-02 	
         0.066	  8.330e-02 	  8.413e-02 	
         0.100	  8.380e-02 	  8.405e-02 	
         0.134	  8.410e-02 	  8.406e-02 	
         0.166	  8.290e-02 	  8.387e-02 	
         0.201	  8.370e-02 	  8.384e-02 	
         0.234	  8.330e-02 	  8.378e-02 	
         0.266	  8.470e-02 	  8.388e-02 	
         0.300	  8.530e-02 	  8.402e-02 	
         0.334	  8.590e-02 	  8.419e-02 	
         0.366	  8.600e-02 	  8.434e-02 	
         0.400	  8.580e-02 	  8.445e-02 	
         0.434	  8.630e-02 	  8.459e-02 	
         0.466	  8.640e-02 	  8.471e-02 	
         0.500	  8.560e-02 	  8.476e-02 	
         0.534	  8.360e-02 	  8.469e-02 	
         0.567	  8.470e-02 	  8.469e-02 	
         0.600	  8.480e-02 	  8.470e-02 	
         0.634	  8.580e-02 	  8.475e-02 	
         0.666	  8.240e-02 	  8.464e-02 	
         0.700	  8.270e-02 	  8.455e-02 	
         0.734	  8.400e-02 	  8.453e-02 	
         0.766	  8.410e-02 	  8.451e-02 	
         0.800	  8.220e-02 	  8.442e-02 	
         0.834	  8.420e-02 	  8.441e-02 	
         0.866	  8.580e-02 	  8.446e-02 	
         0.900	  8.540e-02 	  8.450e-02 	
         0.934	  8.270e-02 	  8.443e-02 	
         0.966	  8.300e-02 	  8.439e-02 	
         1.000	  8.330e-02 	  8.435e-02 	
         1.034	  8.390e-02 	  8.434e-02 	
         1.066	  8.120e-02 	  8.424e-02 	
         1.100	  8.290e-02 	  8.420e-02 	
         1.134	  8.480e-02 	  8.422e-02 	
         1.166	  8.260e-02 	  8.417e-02 	
         1.200	  8.320e-02 	  8.415e-02 	
         1.234	  8.480e-02 	  8.417e-02 	
         1.266	  8.400e-02 	  8.416e-02 	
         1.300	  8.560e-02 	  8.420e-02 	
         1.334	  8.380e-02 	  8.419e-02 	
         1.366	  7.960e-02 	  8.408e-02 	
         1.400	  8.320e-02 	  8.406e-02 	
         1.434	  8.320e-02 	  8.404e-02 	
         1.466	  8.540e-02 	  8.407e-02 	
         1.500	  8.380e-02 	  8.406e-02 	
         1.534	  8.310e-02 	  8.404e-02 	
         1.566	  8.490e-02 	  8.406e-02 	
         1.600	  8.420e-02 	  8.406e-02 	
         1.634	  8.200e-02 	  8.402e-02 	
         1.666	  8.520e-02 	  8.405e-02 	
         1.700	  8.390e-02 	  8.404e-02 	
         1.734	  8.620e-02 	  8.408e-02 	
         1.766	  8.340e-02 	  8.407e-02 	
         1.800	  8.480e-02 	  8.408e-02 	
         1.834	  8.360e-02 	  8.408e-02 	
         1.866	  8.680e-02 	  8.412e-02 	
         1.900	  8.460e-02 	  8.413e-02 	
         1.934	  8.460e-02 	  8.414e-02 	
         1.966	  8.370e-02 	  8.413e-02 	
         2.000	  8.250e-02 	  8.410e-02 	
         2.034	  8.370e-02 	  8.410e-02 	
         2.066	  8.370e-02 	  8.409e-02 	
         2.100	  8.460e-02 	  8.410e-02 	
         2.134	  8.490e-02 	  8.411e-02 	
         2.166	  8.090e-02 	  8.406e-02 	
         2.200	  8.310e-02 	  8.405e-02 	
         2.234	  8.150e-02 	  8.401e-02 	
         2.266	  8.270e-02 	  8.399e-02 	
         2.300	  8.160e-02 	  8.396e-02 	
         2.334	  8.250e-02 	  8.394e-02 	
         2.366	  8.220e-02 	  8.391e-02 	
         2.401	  8.640e-02 	  8.395e-02 	
         2.434	  8.510e-02 	  8.396e-02 	
         2.466	  8.380e-02 	  8.396e-02 	
         2.500	  8.380e-02 	  8.396e-02 	
         2.534	  8.460e-02 	  8.397e-02 	
         2.567	  8.230e-02 	  8.395e-02 	
         2.600	  8.470e-02 	  8.396e-02 	
         2.634	  8.260e-02 	  8.394e-02 	
         2.666	  8.360e-02 	  8.393e-02 	
         2.700	  8.410e-02 	  8.394e-02 	
         2.734	  8.320e-02 	  8.393e-02 	
         2.766	  8.290e-02 	  8.392e-02 	
         2.800	  8.320e-02 	  8.391e-02 	
         2.834	  8.600e-02 	  8.393e-02 	
         2.866	  8.310e-02 	  8.392e-02 	
         2.900	  8.420e-02 	  8.393e-02 	
         2.934	  8.520e-02 	  8.394e-02 	
         2.970	  8.530e-02 	  8.395e-02 	
         3.000	  8.450e-02 	  8.396e-02 	
         3.034	  8.520e-02 	  8.398e-02 	
         3.066	  8.420e-02 	  8.396e-02 	
         3.100	  8.340e-02 	  8.396e-02 	
         3.134	  8.340e-02 	  8.396e-02 	
         3.166	  8.440e-02 	  8.396e-02 	
         3.200	  8.320e-02 	  8.397e-02 	
         3.234	  8.440e-02 	  8.397e-02 	
         3.266	  8.270e-02 	  8.397e-02 	
         3.300	  8.330e-02 	  8.395e-02 	
         3.334	  8.510e-02 	  8.395e-02 	
         3.366	  8.290e-02 	  8.392e-02 	
         3.400	  8.340e-02 	  8.389e-02 	
         3.434	  8.460e-02 	  8.388e-02 	
         3.466	  8.690e-02 	  8.388e-02 	
         3.500	  8.660e-02 	  8.388e-02 	
         3.534	  8.160e-02 	  8.384e-02 	
         3.566	  8.540e-02 	  8.386e-02 	
         3.600	  8.330e-02 	  8.385e-02 	
         3.634	  8.600e-02 	  8.386e-02 	
         3.666	  8.140e-02 	  8.381e-02 	
         3.700	  8.080e-02 	  8.379e-02 	
         3.734	  8.270e-02 	  8.379e-02 	
         3.766	  8.550e-02 	  8.381e-02 	
         3.800	  8.370e-02 	  8.380e-02 	
         3.834	  8.530e-02 	  8.384e-02 	
         3.866	  8.260e-02 	  8.382e-02 	
         3.900	  8.450e-02 	  8.381e-02 	
         3.934	  8.590e-02 	  8.381e-02 	
         3.966	  8.410e-02 	  8.383e-02 	
         4.004	  8.270e-02 	  8.383e-02 	
         4.034	  8.540e-02 	  8.385e-02 	
         4.066	  8.290e-02 	  8.384e-02 	
         4.100	  8.290e-02 	  8.385e-02 	
         4.134	  8.320e-02 	  8.386e-02 	
         4.166	  8.380e-02 	  8.385e-02 	
         4.200	  8.690e-02 	  8.389e-02 	
         4.234	  8.360e-02 	  8.390e-02 	
         4.266	  8.390e-02 	  8.389e-02 	
         4.300	  8.320e-02 	  8.388e-02 	
         4.334	  8.550e-02 	  8.388e-02 	
         4.366	  8.410e-02 	  8.388e-02 	
         4.400	  8.070e-02 	  8.389e-02 	
         4.434	  8.250e-02 	  8.389e-02 	
         4.466	  8.410e-02 	  8.390e-02 	
         4.500	  8.380e-02 	  8.388e-02 	
         4.534	  8.490e-02 	  8.389e-02 	
         4.567	  8.360e-02 	  8.389e-02 	
         4.600	  8.360e-02 	  8.388e-02 	
         4.634	  8.420e-02 	  8.388e-02 	
         4.666	  8.320e-02 	  8.390e-02 	
         4.700	  8.050e-02 	  8.384e-02 	
         4.734	  8.150e-02 	  8.382e-02 	
         4.766	  8.320e-02 	  8.378e-02 	
         4.800	  8.320e-02 	  8.378e-02 	
         4.834	  8.110e-02 	  8.374e-02 	
         4.866	  8.400e-02 	  8.375e-02 	
         4.900	  8.390e-02 	  8.371e-02 	
         4.934	  8.460e-02 	  8.371e-02 	
         4.966	  8.330e-02 	  8.370e-02 	
         5.000	  8.230e-02 	  8.368e-02 	
         5.034	  8.480e-02 	  8.371e-02 	
         5.066	  8.300e-02 	  8.370e-02 	
         5.100	  8.420e-02 	  8.371e-02 	
         5.134	  8.370e-02 	  8.370e-02 	
         5.166	  8.230e-02 	  8.367e-02 	
         5.200	  8.400e-02 	  8.370e-02 	
         5.234	  8.520e-02 	  8.373e-02 	
         5.266	  8.230e-02 	  8.374e-02 	
         5.300	  8.550e-02 	  8.377e-02 	
         5.334	  8.380e-02 	  8.379e-02 	
         5.366	  8.370e-02 	  8.380e-02 	
         5.400	  8.530e-02 	  8.384e-02 	
         5.434	  8.380e-02 	  8.381e-02 	
         5.466	  8.590e-02 	  8.382e-02 	
         5.500	  8.480e-02 	  8.383e-02 	
         5.534	  8.290e-02 	  8.382e-02 	
         5.566	  8.470e-02 	  8.382e-02 	
         5.600	  8.510e-02 	  8.385e-02 	
         5.634	  8.300e-02 	  8.383e-02 	
         5.666	  8.300e-02 	  8.384e-02 	
         5.700	  8.470e-02 	  8.385e-02 	
         5.734	  8.270e-02 	  8.383e-02 	
         5.766	  8.240e-02 	  8.382e-02 	
         5.800	  8.260e-02 	  8.382e-02 	
         5.834	  8.480e-02 	  8.384e-02 	
         5.866	  8.550e-02 	  8.383e-02 	
         5.900	  8.140e-02 	  8.381e-02 	
         5.934	  8.630e-02 	  8.384e-02 	
         5.966	  8.520e-02 	  8.384e-02 	
         6.000	  8.330e-02 	  8.382e-02 	
         6.034	  8.550e-02 	  8.383e-02 	
         6.067	  8.530e-02 	  8.382e-02 	
         6.100	  8.490e-02 	  8.384e-02 	
         6.134	  8.240e-02 	  8.382e-02 	
         6.166	  8.150e-02 	  8.380e-02 	
         6.200	  8.550e-02 	  8.382e-02 	
         6.234	  8.300e-02 	  8.381e-02 	
         6.266	  8.590e-02 	  8.383e-02 	
         6.300	  8.180e-02 	  8.382e-02 	
         6.334	  8.530e-02 	  8.384e-02 	
         6.366	  8.260e-02 	  8.381e-02 	
         6.405	  8.490e-02 	  8.384e-02 	
         6.434	  8.400e-02 	  8.384e-02 	
         6.466	  8.100e-02 	  8.380e-02 	
         6.500	  8.580e-02 	  8.379e-02 	
         6.534	  8.290e-02 	  8.375e-02 	
