;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 16:49:26
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:80.31mJ             
;Max:81.68mJ             
;Average:81.17mJ             
;Std.Dev.:371.4uJ             
;Overrange:0                   
;Total Pulses:584                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 16:49:27
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  8.100e-02 	  8.100e-02 	
         0.034	  8.190e-02 	  8.145e-02 	
         0.068	  8.160e-02 	  8.150e-02 	
         0.100	  8.070e-02 	  8.130e-02 	
         0.134	  7.850e-02 	  8.074e-02 	
         0.168	  8.000e-02 	  8.062e-02 	
         0.200	  8.170e-02 	  8.077e-02 	
         0.234	  8.090e-02 	  8.079e-02 	
         0.268	  8.070e-02 	  8.078e-02 	
         0.300	  8.070e-02 	  8.077e-02 	
         0.334	  8.380e-02 	  8.105e-02 	
         0.368	  8.050e-02 	  8.100e-02 	
         0.401	  8.030e-02 	  8.095e-02 	
         0.434	  8.110e-02 	  8.096e-02 	
         0.468	  7.890e-02 	  8.082e-02 	
         0.500	  8.250e-02 	  8.092e-02 	
         0.534	  7.770e-02 	  8.074e-02 	
         0.568	  7.900e-02 	  8.064e-02 	
         0.600	  7.970e-02 	  8.059e-02 	
         0.634	  8.010e-02 	  8.057e-02 	
         0.668	  7.900e-02 	  8.049e-02 	
         0.700	  8.250e-02 	  8.058e-02 	
         0.735	  8.250e-02 	  8.067e-02 	
         0.768	  8.180e-02 	  8.071e-02 	
         0.800	  8.150e-02 	  8.074e-02 	
         0.834	  8.110e-02 	  8.076e-02 	
         0.868	  8.080e-02 	  8.076e-02 	
         0.900	  8.290e-02 	  8.084e-02 	
         0.934	  8.070e-02 	  8.083e-02 	
         0.968	  8.220e-02 	  8.088e-02 	
         1.000	  8.040e-02 	  8.086e-02 	
         1.034	  8.080e-02 	  8.086e-02 	
         1.068	  8.090e-02 	  8.086e-02 	
         1.100	  8.180e-02 	  8.089e-02 	
         1.134	  8.110e-02 	  8.089e-02 	
         1.168	  8.150e-02 	  8.091e-02 	
         1.200	  8.020e-02 	  8.089e-02 	
         1.234	  8.050e-02 	  8.088e-02 	
