;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:26:26
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:79.20mJ             
;Max:82.20mJ             
;Average:81.27mJ             
;Std.Dev.:421.4uJ             
;Overrange:0                   
;Total Pulses:609                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:26:26
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  7.920e-02 	  7.920e-02 	
         0.032	  7.950e-02 	  7.935e-02 	
         0.066	  8.050e-02 	  7.973e-02 	
         0.100	  8.010e-02 	  7.983e-02 	
         0.132	  8.270e-02 	  8.040e-02 	
         0.166	  8.220e-02 	  8.070e-02 	
         0.200	  8.370e-02 	  8.113e-02 	
         0.238	  7.970e-02 	  8.095e-02 	
         0.266	  8.140e-02 	  8.100e-02 	
         0.300	  8.190e-02 	  8.109e-02 	
         0.332	  8.260e-02 	  8.123e-02 	
         0.366	  8.100e-02 	  8.121e-02 	
         0.400	  8.100e-02 	  8.119e-02 	
         0.432	  8.220e-02 	  8.126e-02 	
         0.466	  7.990e-02 	  8.117e-02 	
         0.500	  8.200e-02 	  8.123e-02 	
         0.532	  8.140e-02 	  8.124e-02 	
         0.566	  8.040e-02 	  8.119e-02 	
         0.600	  8.160e-02 	  8.121e-02 	
         0.632	  7.930e-02 	  8.112e-02 	
         0.666	  8.160e-02 	  8.114e-02 	
         0.700	  7.750e-02 	  8.097e-02 	
         0.732	  8.010e-02 	  8.093e-02 	
         0.766	  8.030e-02 	  8.091e-02 	
         0.802	  8.020e-02 	  8.088e-02 	
         0.833	  8.180e-02 	  8.092e-02 	
         0.865	  8.160e-02 	  8.094e-02 	
         0.900	  8.080e-02 	  8.094e-02 	
         0.936	  8.120e-02 	  8.094e-02 	
         0.966	  8.160e-02 	  8.097e-02 	
         1.000	  8.160e-02 	  8.099e-02 	
         1.032	  8.110e-02 	  8.099e-02 	
         1.066	  8.070e-02 	  8.098e-02 	
         1.099	  7.880e-02 	  8.092e-02 	
         1.132	  8.030e-02 	  8.090e-02 	
         1.166	  7.870e-02 	  8.084e-02 	
         1.200	  8.000e-02 	  8.082e-02 	
         1.232	  8.030e-02 	  8.080e-02 	
         1.266	  8.160e-02 	  8.082e-02 	
         1.300	  8.150e-02 	  8.084e-02 	
         1.331	  8.090e-02 	  8.084e-02 	
         1.366	  7.860e-02 	  8.079e-02 	
         1.400	  8.050e-02 	  8.078e-02 	
         1.432	  8.180e-02 	  8.080e-02 	
         1.466	  8.200e-02 	  8.083e-02 	
         1.500	  7.920e-02 	  8.080e-02 	
         1.532	  8.160e-02 	  8.081e-02 	
         1.566	  8.110e-02 	  8.082e-02 	
         1.600	  8.160e-02 	  8.083e-02 	
         1.632	  8.140e-02 	  8.085e-02 	
         1.665	  8.140e-02 	  8.086e-02 	
         1.700	  8.170e-02 	  8.087e-02 	
         1.732	  8.160e-02 	  8.089e-02 	
         1.766	  8.050e-02 	  8.088e-02 	
         1.800	  7.970e-02 	  8.086e-02 	
         1.832	  8.170e-02 	  8.087e-02 	
         1.865	  8.040e-02 	  8.086e-02 	
         1.900	  8.110e-02 	  8.087e-02 	
         1.932	  8.230e-02 	  8.089e-02 	
         1.965	  8.090e-02 	  8.089e-02 	
         1.999	  8.260e-02 	  8.092e-02 	
         2.031	  8.200e-02 	  8.094e-02 	
         2.065	  8.030e-02 	  8.093e-02 	
         2.100	  8.040e-02 	  8.092e-02 	
         2.132	  8.030e-02 	  8.091e-02 	
         2.166	  8.100e-02 	  8.091e-02 	
         2.201	  8.120e-02 	  8.092e-02 	
         2.231	  8.050e-02 	  8.091e-02 	
         2.266	  8.190e-02 	  8.092e-02 	
         2.299	  8.120e-02 	  8.093e-02 	
         2.331	  8.100e-02 	  8.093e-02 	
         2.366	  8.260e-02 	  8.095e-02 	
         2.399	  8.160e-02 	  8.096e-02 	
         2.431	  8.040e-02 	  8.095e-02 	
         2.465	  8.180e-02 	  8.097e-02 	
         2.500	  8.180e-02 	  8.098e-02 	
         2.531	  8.070e-02 	  8.097e-02 	
         2.565	  8.160e-02 	  8.098e-02 	
         2.599	  8.260e-02 	  8.100e-02 	
         2.631	  7.960e-02 	  8.098e-02 	
         2.665	  8.040e-02 	  8.098e-02 	
         2.700	  8.160e-02 	  8.098e-02 	
         2.731	  7.960e-02 	  8.097e-02 	
         2.765	  7.940e-02 	  8.095e-02 	
         2.799	  7.960e-02 	  8.093e-02 	
         2.831	  8.090e-02 	  8.093e-02 	
         2.866	  7.990e-02 	  8.092e-02 	
         2.899	  8.170e-02 	  8.093e-02 	
         2.931	  7.960e-02 	  8.091e-02 	
         2.966	  8.150e-02 	  8.092e-02 	
         2.999	  8.030e-02 	  8.091e-02 	
         3.031	  8.240e-02 	  8.095e-02 	
         3.065	  7.770e-02 	  8.093e-02 	
         3.099	  8.160e-02 	  8.094e-02 	
         3.131	  8.190e-02 	  8.096e-02 	
         3.165	  8.110e-02 	  8.094e-02 	
         3.199	  7.850e-02 	  8.090e-02 	
         3.231	  8.190e-02 	  8.088e-02 	
         3.265	  8.380e-02 	  8.093e-02 	
         3.299	  7.940e-02 	  8.091e-02 	
         3.331	  8.050e-02 	  8.089e-02 	
         3.365	  7.880e-02 	  8.085e-02 	
         3.399	  8.190e-02 	  8.086e-02 	
         3.431	  8.290e-02 	  8.088e-02 	
         3.465	  8.010e-02 	  8.086e-02 	
         3.499	  8.260e-02 	  8.089e-02 	
         3.531	  8.160e-02 	  8.088e-02 	
         3.565	  8.240e-02 	  8.089e-02 	
         3.599	  8.360e-02 	  8.093e-02 	
         3.631	  8.180e-02 	  8.093e-02 	
         3.665	  8.270e-02 	  8.097e-02 	
         3.699	  8.200e-02 	  8.097e-02 	
         3.731	  7.860e-02 	  8.098e-02 	
         3.765	  8.110e-02 	  8.100e-02 	
         3.799	  8.090e-02 	  8.100e-02 	
         3.831	  8.170e-02 	  8.102e-02 	
         3.865	  8.170e-02 	  8.102e-02 	
         3.899	  8.230e-02 	  8.103e-02 	
         3.931	  8.160e-02 	  8.103e-02 	
         3.965	  7.900e-02 	  8.101e-02 	
         3.999	  8.170e-02 	  8.101e-02 	
         4.031	  8.260e-02 	  8.102e-02 	
         4.065	  8.050e-02 	  8.102e-02 	
         4.099	  8.150e-02 	  8.102e-02 	
         4.131	  8.160e-02 	  8.105e-02 	
         4.165	  8.170e-02 	  8.107e-02 	
         4.199	  8.170e-02 	  8.110e-02 	
         4.231	  8.160e-02 	  8.112e-02 	
         4.265	  8.160e-02 	  8.114e-02 	
         4.299	  7.870e-02 	  8.110e-02 	
         4.331	  8.310e-02 	  8.112e-02 	
         4.365	  8.050e-02 	  8.112e-02 	
         4.399	  8.240e-02 	  8.116e-02 	
         4.431	  8.140e-02 	  8.117e-02 	
         4.465	  8.190e-02 	  8.117e-02 	
         4.499	  8.320e-02 	  8.118e-02 	
         4.531	  8.240e-02 	  8.122e-02 	
         4.565	  7.850e-02 	  8.118e-02 	
         4.599	  8.220e-02 	  8.120e-02 	
         4.631	  8.080e-02 	  8.119e-02 	
         4.665	  8.220e-02 	  8.120e-02 	
         4.701	  7.930e-02 	  8.117e-02 	
         4.731	  8.140e-02 	  8.117e-02 	
         4.765	  7.770e-02 	  8.113e-02 	
         4.799	  8.040e-02 	  8.113e-02 	
         4.831	  8.150e-02 	  8.115e-02 	
         4.865	  7.990e-02 	  8.113e-02 	
         4.899	  8.230e-02 	  8.115e-02 	
         4.931	  8.180e-02 	  8.115e-02 	
         4.965	  8.040e-02 	  8.113e-02 	
         4.999	  8.220e-02 	  8.115e-02 	
         5.031	  8.270e-02 	  8.115e-02 	
         5.065	  8.120e-02 	  8.114e-02 	
         5.099	  8.040e-02 	  8.114e-02 	
         5.131	  8.270e-02 	  8.117e-02 	
         5.165	  8.250e-02 	  8.119e-02 	
         5.200	  8.050e-02 	  8.118e-02 	
         5.231	  8.250e-02 	  8.120e-02 	
         5.265	  8.050e-02 	  8.120e-02 	
         5.299	  8.390e-02 	  8.122e-02 	
         5.331	  8.180e-02 	  8.123e-02 	
         5.365	  8.120e-02 	  8.123e-02 	
         5.399	  8.170e-02 	  8.122e-02 	
         5.431	  8.100e-02 	  8.121e-02 	
         5.465	  8.050e-02 	  8.121e-02 	
         5.499	  8.190e-02 	  8.122e-02 	
         5.531	  7.830e-02 	  8.118e-02 	
         5.565	  8.090e-02 	  8.118e-02 	
         5.599	  8.200e-02 	  8.118e-02 	
         5.631	  8.190e-02 	  8.118e-02 	
         5.665	  8.170e-02 	  8.120e-02 	
         5.700	  8.020e-02 	  8.120e-02 	
         5.731	  7.900e-02 	  8.117e-02 	
         5.765	  7.970e-02 	  8.117e-02 	
         5.799	  7.810e-02 	  8.115e-02 	
         5.831	  7.950e-02 	  8.115e-02 	
         5.867	  8.050e-02 	  8.116e-02 	
         5.899	  7.940e-02 	  8.114e-02 	
         5.933	  7.960e-02 	  8.114e-02 	
         5.965	  8.100e-02 	  8.114e-02 	
         5.999	  7.960e-02 	  8.112e-02 	
         6.033	  8.140e-02 	  8.111e-02 	
         6.065	  8.180e-02 	  8.112e-02 	
         6.099	  7.960e-02 	  8.114e-02 	
         6.133	  7.940e-02 	  8.111e-02 	
         6.165	  8.010e-02 	  8.110e-02 	
         6.199	  8.070e-02 	  8.109e-02 	
         6.233	  8.120e-02 	  8.111e-02 	
         6.265	  8.160e-02 	  8.112e-02 	
         6.299	  8.010e-02 	  8.108e-02 	
         6.333	  8.250e-02 	  8.112e-02 	
         6.365	  8.110e-02 	  8.112e-02 	
         6.399	  8.100e-02 	  8.114e-02 	
         6.433	  8.220e-02 	  8.113e-02 	
         6.465	  8.140e-02 	  8.113e-02 	
         6.499	  7.900e-02 	  8.112e-02 	
         6.533	  8.090e-02 	  8.109e-02 	
         6.565	  8.230e-02 	  8.111e-02 	
         6.599	  8.030e-02 	  8.108e-02 	
         6.633	  8.150e-02 	  8.105e-02 	
         6.665	  8.200e-02 	  8.106e-02 	
         6.699	  8.080e-02 	  8.104e-02 	
         6.733	  8.290e-02 	  8.108e-02 	
         6.765	  8.180e-02 	  8.109e-02 	
         6.799	  8.090e-02 	  8.109e-02 	
         6.833	  8.160e-02 	  8.109e-02 	
         6.865	  8.240e-02 	  8.110e-02 	
         6.899	  8.070e-02 	  8.109e-02 	
